id_student,final_result,target_lulus,avg_score_early,Prediksi_Lulus,Probabilitas_Lulus,Hasil_Prediksi,Hasil_Aktual
2632165,Pass,1,94.0,1,0.8275583,LULUS (1),LULUS (1)
2678580,Withdrawn,0,74.0,1,0.5420127,LULUS (1),GAGAL/MUNDUR (0)
642122,Pass,1,100.0,1,0.69059646,LULUS (1),LULUS (1)
1101190,Pass,1,89.0,1,0.5450771,LULUS (1),LULUS (1)
656579,Distinction,1,90.33333333333333,1,0.8384119,LULUS (1),LULUS (1)
578062,Fail,0,74.0,0,0.3774507,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
529381,Withdrawn,0,80.0,0,0.49627313,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
606350,Fail,0,40.0,0,0.14125754,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
629404,Withdrawn,0,0.0,0,0.2634268,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
634774,Withdrawn,0,66.0,0,0.4368552,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
581178,Pass,1,100.0,0,0.4705738,GAGAL/MUNDUR (0),LULUS (1)
635100,Pass,1,67.0,0,0.4164164,GAGAL/MUNDUR (0),LULUS (1)
1983331,Withdrawn,0,0.0,0,0.048899032,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
627933,Fail,0,70.0,1,0.5947846,LULUS (1),GAGAL/MUNDUR (0)
528083,Withdrawn,0,30.0,0,0.3231246,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
556389,Pass,1,88.0,1,0.67692894,LULUS (1),LULUS (1)
346207,Pass,1,74.0,0,0.4038287,GAGAL/MUNDUR (0),LULUS (1)
684572,Withdrawn,0,0.0,0,0.2758213,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
523803,Pass,1,0.0,0,0.32003468,GAGAL/MUNDUR (0),LULUS (1)
385387,Distinction,1,100.0,1,0.90890336,LULUS (1),LULUS (1)
2622634,Withdrawn,0,0.0,0,0.28662616,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
648244,Fail,0,60.0,0,0.48851037,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
650269,Pass,1,1.0,1,0.60821,LULUS (1),LULUS (1)
603410,Fail,0,64.0,1,0.5101009,LULUS (1),GAGAL/MUNDUR (0)
688924,Pass,1,96.0,1,0.6116413,LULUS (1),LULUS (1)
633330,Fail,0,0.0,0,0.4007414,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
492153,Pass,1,61.0,1,0.5928315,LULUS (1),LULUS (1)
537193,Pass,1,77.0,1,0.71218926,LULUS (1),LULUS (1)
520006,Distinction,1,80.0,1,0.63604593,LULUS (1),LULUS (1)
649027,Fail,0,1.0,1,0.67705166,LULUS (1),GAGAL/MUNDUR (0)
590548,Withdrawn,0,89.0,0,0.4741534,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
635410,Withdrawn,0,74.0,1,0.5119032,LULUS (1),GAGAL/MUNDUR (0)
